ID,ESP2,ENG
F3_AU01_01,AUDITOR: (Suspira) (Mira el informe) Menos mal que he desayunado antes de venir… ,"AUDITOR: (sighs) (looks at the letter) Well, thank goodness I have already took my breakfast…"
F3_AU01_02,Esta mazmorra es larga de narices. Veamos qué ha hecho nuestro supuesto héroe. , This dungeon is long as damn big. Let's see what our hero has done. 
F3_AUPFlag_01,Esto me resulta extraño…,This is strange…
F3_AUPFlag_02,Creo que te he pillado,I think I got you
F3_AUPFlag_03,"Mucho lirili y poco lerele, señor héroe…","Much ado about nothing, mister Hero…"
F3_AUPFlag_04,Aquí hay gato encerrado…,There's something fishy going on…
F3_AUQFlag_01,Mmm me lo tengo que pensar mejor,I have to think again…
F3_AUQFlag_02,Vamos a darle un par de vueltas,Let's chew the cud
F3_AUQFlag_03,"No, no hay nada que ver aquí","Nah, nothing to see here"
F3_AUQFlag_04,Mejor dejarlo como estaba… ,Better let it be…
F3_Auspike_01,"Prefiero los pinchos de pollo, gracias","I prefer a shish kebab, please"
F3_Aupend_01,Sí que maneja presupuesto esta gente,"They sure are floaded, man"
F3_Auslime_01,Lo siento por el servicio de limpieza…,I feel so sorry for the cleaning service…
F3_Auarrow_01,Seguro que salió de aquí 'enflechao',I bet he took a bow after his perfomance…
F3_AU_01_01,"AUDITOR: Hola, buenas. Soy del Departamento de Asuntos Heroicos.","AUDITOR: Hello, I am from the Department of Heroic Affairs."
F3_AU_01_02,He venido a auditar una hazaña,I came to audit a feat.
F3_PR_01_01,PRISIONERO: CON USTED QUERÍA YO HABLAR.,"PRISONER: FINALLY, SOMEONE FROM THE BLOODY DEPARTMENT! "
F3_PR_01_02,¿Qué es esto de enviar a un héroe al rescate y que ni rescate ni ná?,Why dae ye send an hero wha doesnae rescue??
F3_AU_02,AUDITOR: ¿Ha venido alguien a por usted?,AUDITOR: Has someone come to rescue you?
F3_PR_02_01,"PRISIONERO: Sí, sí, uno muy limpito, con su armadurita bien brillante.","PRISONER:  Ay,yes, a knicht i his shiny little armour an awthing. "
F3_PR_02_02, Estuvo aquí ayer justo.,He wis here juist yesterday!
F3_AU_03,AUDITOR: ¿Y qué pasó? ,AUDITOR: And what happened?
F3_PR_03_01,"PRISIONERO: ¡Pues que tal como vino se fue! ¡Mucha palabrería, pero rescatar poquito!",PRISONER: He went back the way he came! much talk an little action!
F3_PR_03_02,"Llevo siglos aquí, rodeado de malolientes goblins. "," A'v been here for ages, surroundit bi pongy goblins. "
F3_PR_03_03,En cuanto salga voy a poner una queja en su departamento que se va a cagar la perra.,"The moment A put a foot ootside this dungeon, A am gaun'ae complaint tae the department."
F3_AU_04,"AUDITOR: Disculpe, el Departamento de Asuntos Heroicos trabaja todo lo rápido que puede…","AUDITOR: I am sorry, the Department of Heroic Affairs works as fast as it can…"
F3_PR_04_01,"PRISIONERO: Pobrecitos, que trabajan mucho y han tardado CINCUENTA AÑOS en enviarme a alguien.","PRISONER: Oh, poor souls, they work sae hard an thon's why they took fifty years tae send someone for me."
F3_PR_04_02,¿En esto se van mis impuestos? Esto es indignante…,Is here where aw ma taxes are gang? outrageous!
F3_AU_05,"AUDITOR: Señor, entiendo su enfado, pero el sistema está saturado.","AUDITOR: Sir, I understand your anger, but the system is collapsed. "
F3_PR_05,"PRISIONERO: Si, si, muy saturado PERO BIEN QUE VIENEN A BUSCAR EL CETRITO.","PRISONER: Yes, collapsed, but still here you are LOOKING FOR A BLOODY SCEPTER, RIGHT?"
F3_AU_06,"AUDITOR: ¿Se refiere al tesoro de la mazmorra, el cetro del Rey Ca…?",AUDITOR: Do you mean the treasure of this dungeon? The scepter of the F…
F3_PR_06_01,PRISIONERO: ¡CABRÓN!  ¿Quién lo ha votado? ,"PRISONER: FUCKIN KING, AYE!"
F3_PR_06_02,"¡Yo desde luego no, que estaba aquí!","Wha votit for him? A surely didn't, A wis trappit here!!"
F3_AU_07,"AUDITOR: Señor, su héroe de repuesto llegará entre una y dos lunas hábiles.","AUDITOR: Sir, your spare hero will arrive within one or two business moons."
F3_PR_07,PRISIONERO: ¡Más le vale! ¡Aquí le espero! ,PRISONER: He better do! I wait here!
F3_Grub01_01,GRUBLIN: Verde que te quiero verde… ¡AGH! ¿Tú quién eres? ,GRUBLIN: I’m green dabadee dabadiii… OH! Who is you? 
F3_Grub01_02,"¿Qué haces aquí? Por favor, no pegues al pobre Grublin.","What you do here? Please, do not hit poor Grublin"
F3_Grub01_03,Grublin es un goblin bueno…, Grublin is good goblin…
F3_Au01,"AUDITOR: Buenas, soy el Auditor de Hazañas.","AUDITOR: Hi there, I'm the Feat Auditor…"
F3_Grub02,GRUBLIN: ¿¿Un auditor que araña?? ¿Has venido a hacerle risris en la cabecita a Grublin?,GRUBLIN: The what?? You came to smelly smell Grublin’s tiny cheesies? 
F3_Au02,"AUDITOR: HAZAÑAS. AUDITOR DE HAZAÑAS. EN PLAN, DE HÉROES.","AUDITOR: FEAT, FEAT AUDITOR. LIKE, HEROES’ FEAT. "
F3_Grub03_01,"GRUBLIN: Oh, al señorito le gusta rasqui-rasqui a los héroes ná más… ","GRUBLIN: Oh, Mr. Auditor only likes heros’ feet. "
F3_Grub03_02,"Vale, vale. Grublin no juzga, a cada cual a lo suyo. ","Ok, Grublin don’t judge, no kinkshaming. "
F3_Grub03_03,"Si buscas un héroe para hacerle rasqui-rasqui, vi uno ayer. ","If you are looking for a hero to smelly smell, I saw one yesterday. "
F3_Grub03_04,Enlatado y todo. Tenía un pinchi-pincho brillante. ,All tined and everything. He had a big shiny stabby stab. 
F3_Grub03_05,"Me gustan los pinchi-pinchos, ¿sabes?","Me likey stabby stab, ya’ know? "
F3_Au03,AUDITOR: ¿Y qué hizo?,AUDITOR: What did he do?
F3_Grub04_01,GRUBLIN: No mucho. Cosas de héroes: ,GRUBLIN: Not much. Usual hero stuff. 
F3_Grub04_02,"coger piedritas brillantes, dejarse el culete hecho un colador, ",Take shiny flat lil’ rockies. Hit spikies with his bum-bum. 
F3_Grub04_03,"Intentar apuñalar al amigo de Grublin… Ya ves, un martes. ","Try to stab Grublin’s friend… Ya’ know, Tuesday evening."
F3_Au04,AUDITOR: Mmm… ¿tu amigo?,AUDITOR:  Hum… your friend?
F3_Grub05_01,"Grublin: Sí, al único amigo de Grublin, Grooblin. Pobre Grooblin. ","GRUBLIN: Yes, Grublin’s only friend, Grooblin. Poor Grooblin. "
F3_Grub05_02,Le debía cinco piedras brillantes a Grublin… ese cabrón…,"He owe Grublin five shiny rockies, that bastard… "
F3_Au05,"AUDITOR: Mmm… interesante… Gracias, Grublin.","AUDITOR: Mmh… interesting…  Thank you, Grublin."
F3_Grub06,GRUBLIN: No hay de qué. ¡Que vaya bien el rasqui-rasqui!,"GRUBLIN: No prob, feet smeller. Good luck smelling!"
F3_Au06,AUDITOR: …,AUDITOR: … 
F3_AUgob_01,"AUDITOR: Buenas, vengo del Departamento de Asuntos Heroicos.","AUDITOR: Hello, I am from the Department of Heroic Affairs."
F3_Gobcotilla_01,"GOBLIN: Uuuhh, ¿y tienes chismes heroicos? Puedes hablar con el goblin Metiche.","GOBLIN: Uuuhh, you had a juicy affair? You can trust Nosey the goblin."
F3_AUgob_02,"AUDITOR: No, me refiero que REPRESENTO al Departamento de Asuntos Heroicos","AUDITOR: No, I mean, I come FROM the Department of Heroic Affairs."
F3_Gobcotilla_02,"GOBLIN: No te preocupes, tus chismes están a salvo conmigo, nadie sabrá sobre esos asuntillos tuyos... jijiji","GOBLIN: Don't worry, your secret is safe with me, no one will know about your heroic affair... hehehe"
F3_AUescon_01,"AUDITOR: Buenas, represento al Departamento de Asuntos Heroicos","AUDITOR: Hello, I come from the Department of Heroic Affairs"
F3_Gobescon_01,GOBLIN: SSSSHHHH... Estoy jugando al escondite...,GOBLIN: SSSSSHHHH... I'm playing hide-and-seek...
F3_AUescon_02,AUDITOR: Quería preguntarle sobre un héroe que vino ayer...,AUDITOR: I wanted to ask you about a hero that came yesterday...
F3_Gobescon_02,"GOBLIN: ¡Uy, sí, sí! Pero no te voy a decir donde está... No soy un chivato.","GOBLIN: Yes-yes! Knighty-Knight came, but I won't tell you where he is... I'm no snitch!"
F3_AUescon_03,AUDITOR: No estoy jugando a ningún juego.,AUDITOR: I'm not playing any game.
F3_Gobescon_03,GOBLIN: Eso es lo que diría alguien que está jugando al escondite... ¡PUES NO ME VAS A PILLAR!,"GOBLIN: That's something someone who's playing would say... WELL, YOU WON'T CATCH ME!"
F0_Mision,Misión: Recupera el Cetro del Rey Caído.,Mission: Retrieve the scepter of the Fallen King.
F0_Lore,"Hace cientos de años, se dice que hubo un gran mago que condensó todo su poder en un cetro mágico que legó en el rey de Draisebia. Sin embargo, los goblins, guiados por su rey lo robaron y lo llevaron a lo más profundo de una mazmorra. Pero el cetro aguardaba la llegada de un gran héroe que lo rescate y lo devuelva al lugar que le corresponde… Hasta hoy.","Hundreds of years ago, it is said that a great wizard condensed all his power into a magic scepter, which he bequeathed to the King of Draisebia. However, the king of goblins sent his people to stole this scepter and took it to the deepest part of a dungeon. But the scepter waited for the arrival of a great hero to rescue it and return it to its rightful place… Until today."
F3_AuditorExpl,"Estimado Auditor:
Ha recibido esta misiva con el propósito de comunicarle que ha sido usted seleccionado para llevar a cabo la auditoria de la solicitud de licencia de héroe con número A55-H0L3. Para obtener dicha licencia, el héroe candidato debe superar la auditoría de hazaña.
Le recordamos el procedimiento de certificación de hazaña: 
1.	Tiene que dirigirse a the Cripta del Goblin Maldito (nº de identificación SKRY-PL4C3) con la máxima prontitud posible.
2.	Revise la mazmorra con la mayor atención y precisión posible. Si encuentra 5 o más contradicciones entre la declaración del héroe y lo que observa en la mazmorra, deberá DENEGAR la licencia. Si encuentra menos de 5 contradicciones, entonces podrá APROBAR la licencia.
3.	Recuerde que puede hablar con los posibles testigos que encuentre en la mazmorra, su testimonio puede ser valioso y válido como contradicción.
Se consideran contradicciones las siguientes casuísticas:
1.	Una trampa activada cuando debería estar desactivada.
2.	Cadáveres donde no debería haberlos, o la ausencia de ellos.
3.	Cofres abiertos no declarados.
Cuando considere que ha terminado con la auditoría, salga de la mazmorra por donde ha entrado. 
Mucha suerte en el desempeño de su tarea, confiamos en su buen hacer y en que sepa DESENMASCARAR (😉) a los héroes fraudulentos.
Reciba un cordial saludo,
Departamento de Asuntos Heroicos
Reino de Draisebia","Dear Mr. Auditor,
You have received this missive for the purpose of communicating that you have been selected as the auditor to conduct the perform an auditory of the hero licence number A55-H0L3.
As you know, all our heroes must have a licence in order to carry out their noble mission. To obtain that aforementioned licence, the hero candidate must pass our feat audit. 
We would like to remind you the fear certification procedure:
1.        Please head to the Cript of the Cursed Goblin (I.D. nº SKRY-PL4C3) as expeditiously as possible.
2.        Please inspect the dungeon with the greatest attention and precision. If you find 5 or more contradictions between the hero’s declaration and what you notice in the dungeon, you will must REFUSE the licence. However, if you find less than 5 contradictions, then you will have to APPROVE the licence. 
3.        You have 8 marks to point out contradictions.
4.        Please remind that you can talk to the possible witnesses you may find inside the dungeon, their testimony could be valuable and valid as a contradiction.
The following cases are considered contradictions:
1.        An activated trap when it should be deactivated, and viceversa.
2.        Corpses where they should not be, or the absence of them.
3.        Undeclared open chests.
Whenever you consider the audit should be over, please leave the dungeon the way you came in.
Mucha suerte en el desempeño de su tarea, we trust in your good performance and that you know how to UNMASK (😉) the fraudulent heroes.
Kind regards,
Department of Heroic Affairs
Kingdom of Draisebia
"
